Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Surivial,# Live Stems,Average Height,max Height,Flowering.Yes,Flowering.No,Survival.Yes,Survival.No,num.live.stems,Aboveground Biomass (g),Belowground Biomass (g),Above:below,Total biomass,Transplant ID Description,Flower No,Total Seeds,Avg No Seeds Per Flower,Days.since.May04,Total Seeds with zeros,Above-to-Total,Below-to-Total
TFJ,Fort Johnson,Tall,2,7,Tall,BI,sympatric,allopatric,TBI,TBI 6,E,2012-11-16,1,2,44.5,80,0,1,1,0,2,3.023,2.236,1.3519678,5.259,NA,NA,NA,NA,NA,0,0.574824111,0.425175889
SFB,Folly Beach,Short,2,13,Tall,FB,allopatric,allopatric,TFB,TFB 3,G,2012-12-16,1,10,17.8,36,0,1,1,0,10,3.847,2.842,1.353624208,6.689,NA,NA,NA,NA,NA,0,0.575123337,0.424876663
TFB,Folly Beach,Tall,2,22,Tall,FJ,sympatric,allopatric,TFJ,TFJ 24,B,2012-12-16,1,4,18.25,25,0,1,1,0,4,4.786,3.475,1.377266187,8.261,NA,NA,NA,NA,NA,0,0.579348747,0.420651253
SFB,Folly Beach,Short,1,3,Tall,BI,allopatric,allopatric,TBI,TBI 14,B,12/13/16,1,2,25.5,26,0,1,1,0,2,1.245,0.896,1.389508929,2.141,NA,NA,NA,NA,NA,0,0.58150397,0.41849603
TFJ,Fort Johnson,Tall,2,10,Short,BI,allopatric,allopatric,SBI,SBI 6,F,2012-11-16,1,3,26,46,0,1,1,0,3,1.46,1.05,1.39047619,2.51,NA,NA,NA,NA,NA,0,0.581673307,0.418326693
SFB,Folly Beach,Short,2,11,Tall,BI,allopatric,allopatric,TBI,TBI 17,F,2012-12-16,1,9,25.66666667,42,1,0,1,0,9,8.299,5.947,1.395493526,14.246,TBI-17,1,21,21,163,21,0.582549488,0.417450512
SFB,Folly Beach,Short,2,12,Short,BI,sympatric,allopatric,SBI,SBI 19,B,2012-12-16,1,10,18.6,41,1,0,1,0,10,8.949,6.389,1.400688684,15.338,SBI-19,2,159,79.5,163,159,0.583452862,0.416547138
SFB,Folly Beach,Short,2,9,Tall,BI,allopatric,allopatric,TBI,TBI 4,G,2012-12-16,1,10,22.2,47,0,1,1,0,10,9.036,6.412,1.409232689,15.448,NA,NA,NA,NA,NA,0,0.584930088,0.415069912
SBI,Bowens Island,Short,2,21,Tall,FB,allopatric,allopatric,TFB,TFB 5,E,12/13/16,1,12,18.75,55,0,1,1,0,12,9.077,6.37,1.424960754,15.447,NA,NA,NA,NA,NA,0,0.587622192,0.412377808
SBI,Bowens Island,Short,1,15,Short,FB,sympatric,allopatric,SFB,SFB 19,B,12/13/16,1,23,13.52173913,37,0,1,1,0,23,7.421,5.162,1.437621077,12.583,NA,NA,NA,NA,NA,0,0.589763967,0.410236033
SFB,Folly Beach,Short,1,22,Tall,FB,allopatric,allopatric,TFB,TFB 5,C,12/13/16,1,11,19.72727273,36,0,1,1,0,11,7.487,5.134,1.458317102,12.621,NA,NA,NA,NA,NA,0,0.593217653,0.406782347
TFB,Folly Beach,Tall,2,25,Short,BI,allopatric,allopatric,SBI,SBI 20,D,2012-12-16,1,7,25.14285714,86,0,1,1,0,7,4.174,2.856,1.461484594,7.03,NA,NA,NA,NA,NA,0,0.59374111,0.40625889
SBI,Bowens Island,Short,2,10,Short,BI,sympatric,sympatric,SBI,SBI 15,C,12/13/16,1,23,17.7826087,36,1,0,1,0,23,16.575,11.255,1.472678809,27.83,SBI-15,3,237,79,149,237,0.595580309,0.404419691
SFJ,Fort Johnson,Short,2,16,Short,BI,sympatric,allopatric,SBI,SBI 19,H,2012-11-16,1,3,27,35,0,1,1,0,3,4.851,3.287,1.475813812,8.138,NA,NA,NA,NA,NA,0,0.596092406,0.403907594
SBI,Bowens Island,Short,2,23,Short,BI,sympatric,sympatric,SBI,SBI 20,E,12/13/16,1,14,23.07142857,57,0,1,1,0,14,11.291,7.638,1.478266562,18.929,NA,NA,NA,NA,NA,0,0.596492155,0.403507845
TFB,Folly Beach,Tall,2,4,Tall,FJ,sympatric,allopatric,TFJ,TFJ 9,D,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.319,0.215,1.48372093,0.534,NA,NA,NA,NA,NA,0,0.597378277,0.402621723
SFB,Folly Beach,Short,2,25,Short,FJ,sympatric,allopatric,SFJ,SFJ 22,D,2012-12-16,1,26,19.15384615,43,0,1,1,0,26,12.247,8.051,1.521177493,20.298,NA,NA,NA,NA,NA,0,0.603359937,0.396640063
SFJ,Fort Johnson,Short,1,12,Tall,BI,allopatric,allopatric,TBI,TBI 14,C,2012-11-16,1,2,12.5,16,0,1,1,0,2,0.291,0.186,1.564516129,0.477,NA,NA,NA,NA,NA,0,0.610062893,0.389937107
TFB,Folly Beach,Tall,2,26,Tall,FB,sympatric,sympatric,TFB,TFB 25,A,2012-12-16,1,3,25.33333333,39,0,1,1,0,3,2.74,1.67,1.640718563,4.41,NA,NA,NA,NA,NA,0,0.621315193,0.378684807
SBI,Bowens Island,Short,2,18,Short,BI,sympatric,sympatric,SBI,SBI 19,E,12/13/16,1,7,18.14285714,30,1,0,1,0,7,7.36,4.482,1.642124052,11.842,SBI-19,4,340,85,163,340,0.621516636,0.378483364
TFB,Folly Beach,Tall,2,10,Tall,FJ,sympatric,allopatric,TFJ,TFJ 1,E,2012-12-16,1,4,35,78,0,1,1,0,4,2.923,1.758,1.662684869,4.681,NA,NA,NA,NA,NA,0,0.624439222,0.375560778
TFB,Folly Beach,Tall,2,8,Tall,FB,sympatric,sympatric,TFB,TFB 17,H,2012-12-16,1,3,25,63,0,1,1,0,3,4.191,2.519,1.663755459,6.71,NA,NA,NA,NA,NA,0,0.624590164,0.375409836
SBI,Bowens Island,Short,1,28,Tall,FB,allopatric,allopatric,TFB,TFB 17,B,12/13/16,1,20,21.3,47,0,1,1,0,20,14.496,8.678,1.670430975,23.174,NA,NA,NA,NA,NA,0,0.62552861,0.37447139
SFJ,Fort Johnson,Short,2,5,Tall,FB,allopatric,allopatric,TFB,TFB 12,B,2012-11-16,1,5,15.6,20,0,1,1,0,5,5.726,3.407,1.68065747,9.133,NA,NA,NA,NA,NA,0,0.626957188,0.373042812
SFJ,Fort Johnson,Short,1,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 24,D,2012-11-16,1,7,18.14285714,45,0,1,1,0,7,3.678,2.182,1.685609533,5.86,NA,NA,NA,NA,NA,0,0.627645051,0.372354949
TFJ,Fort Johnson,Tall,2,5,Tall,BI,sympatric,allopatric,TBI,TBI 21,F,2012-11-16,1,4,6.75,11,1,0,1,0,4,5.416,3.129,1.730904442,8.545,TBI-21,2,190,95,164,190,0.633820948,0.366179052
TFJ,Fort Johnson,Tall,1,23,Short,BI,allopatric,allopatric,SBI,SBI 19,D,2012-11-16,1,2,11.5,20,0,1,1,0,2,2.534,1.402,1.807417974,3.936,NA,NA,NA,NA,NA,0,0.643800813,0.356199187
SFB,Folly Beach,Short,2,22,Tall,FB,allopatric,allopatric,TFB,TFB 17,C,2012-12-16,1,4,26.25,48,0,1,1,0,4,0.043,0.023,1.869565217,0.066,NA,NA,NA,NA,NA,0,0.651515152,0.348484848
SBI,Bowens Island,Short,2,22,Tall,BI,allopatric,allopatric,TBI,TBI 4,B,12/13/16,1,6,23.5,39,0,1,1,0,6,6.322,3.101,2.038697194,9.423,NA,NA,NA,NA,NA,0,0.670911599,0.329088401
SFB,Folly Beach,Short,1,20,Tall,FB,allopatric,allopatric,TFB,TFB 4,C,12/13/16,1,11,28,59,0,1,1,0,11,11.97,5.739,2.085729221,17.709,NA,NA,NA,NA,NA,0,0.675927494,0.324072506
SBI,Bowens Island,Short,2,1,Tall,FB,allopatric,allopatric,TFB,TFB 12,F,12/13/16,1,4,42,67,0,1,1,0,4,11.037,5.147,2.144355935,16.184,NA,NA,NA,NA,NA,0,0.681969847,0.318030153
TFB,Folly Beach,Tall,2,6,Tall,BI,sympatric,allopatric,TBI,TBI 14,E,2012-12-16,1,3,40,91,0,1,1,0,3,4.633,1.872,2.474893162,6.505,NA,NA,NA,NA,NA,0,0.712221368,0.287778632
TFB,Folly Beach,Tall,2,24,Tall,FB,sympatric,sympatric,TFB,TFB 13,B,2012-12-16,1,1,27,27,0,1,1,0,1,1.384,0.374,3.700534759,1.758,NA,NA,NA,NA,NA,0,0.787258248,0.212741752
TFJ,Fort Johnson,Tall,2,2,Tall,FJ,sympatric,sympatric,TFJ,TFJ 13,E,2012-11-16,1,1,6.5,6.5,0,1,1,0,1,0.245,0.004,NA,0.249,NA,NA,NA,NA,NA,0,0.983935743,0.016064257
TFJ,Fort Johnson,Tall,1,3,Short,BI,allopatric,allopatric,SBI,SBI 2,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.248,0.007,NA,0.255,NA,NA,NA,NA,NA,0,0.97254902,0.02745098
TFJ,Fort Johnson,Tall,1,11,Short,FB,allopatric,allopatric,SFB,SFB 25,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.014,NA,NA,NA,NA,NA,NA,NA,0,,
SFB,Folly Beach,Short,2,24,Short,FB,sympatric,sympatric,SFB,SFB 9,C,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.026,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,5,Tall,FB,sympatric,sympatric,TFB,TFB 3,B,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.577,0.041,NA,0.618,NA,NA,NA,NA,NA,0,0.933656958,0.066343042
TFJ,Fort Johnson,Tall,1,5,Tall,FB,sympatric,allopatric,TFB,TFB 12,E,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.042,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,4,Tall,FJ,sympatric,sympatric,TFJ,TFJ 20,D,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.074,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,20,Tall,FJ,sympatric,sympatric,TFJ,TFJ 15,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.075,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 6,D,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.092,NA,NA,NA,NA,NA,NA,NA,0,,
SFB,Folly Beach,Short,2,17,Tall,FJ,allopatric,allopatric,TFJ,TFJ 13,F,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.118,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,17,Short,FB,allopatric,allopatric,SFB,SFB 11,D,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.136,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,25,Tall,FB,sympatric,sympatric,TFB,TFB 5,A,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.137,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,28,Short,FB,allopatric,allopatric,SFB,SFB 15,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.138,NA,NA,NA,NA,NA,NA,NA,0,,
SFB,Folly Beach,Short,1,26,Tall,FJ,allopatric,allopatric,TFJ,TFJ 15,F,12/13/16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.15,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,14,Tall,FB,sympatric,sympatric,TFB,TFB 4,Z,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.154,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,21,Tall,BI,sympatric,allopatric,TBI,TBI 22,A,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.161,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,22,Short,BI,sympatric,allopatric,SBI,SBI 20,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.176,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,23,Tall,FJ,sympatric,allopatric,TFJ,TFJ 17,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.185,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,12,Short,BI,allopatric,allopatric,SBI,SBI 16,E,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.196,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,26,Tall,FJ,sympatric,allopatric,TFJ,TFJ 15,C,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.199,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,13,Short,BI,allopatric,allopatric,SBI,SBI 16,D,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.201,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,3,Tall,FJ,sympatric,allopatric,TFJ,TFJ 5,F,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.21,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,3,Tall,FJ,allopatric,allopatric,TFJ,TFJ 13,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.253,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,18,Short,BI,allopatric,allopatric,SBI,SBI 1,F,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.258,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,G,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.259,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,27,Tall,FB,sympatric,sympatric,TFB,TFB 1,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.264,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,13,Tall,BI,sympatric,allopatric,TBI,TBI 17,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.271,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,4,Short,FB,allopatric,allopatric,SFB,SFB 12,D,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.272,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,2,8,Short,BI,sympatric,allopatric,SBI,SBI 9,E,2012-11-16,1,1,9,9,0,1,1,0,1,NA,0.319,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,2,Tall,BI,sympatric,allopatric,TBI,TBI 3,B,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.33,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,6,Short,FB,allopatric,allopatric,SFB,SFB 19,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.339,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,2,Short,BI,allopatric,allopatric,SBI,SBI 6,E,2012-12-16,1,1,17,17,0,1,1,0,1,NA,0.356,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,2,1,Short,FJ,sympatric,sympatric,SFJ,SFJ 7,E,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.367,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,18,Tall,BI,sympatric,allopatric,TBI,TBI 4,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.379,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,7,Tall,BI,sympatric,allopatric,TBI,TBI 1,F,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.392,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,5,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,G,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.395,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,17,Short,FB,allopatric,allopatric,SFB,SFB 6,C,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.395,NA,NA,NA,NA,NA,NA,NA,0,,
SFB,Folly Beach,Short,1,30,Short,FJ,sympatric,allopatric,SFJ,SFJ 9,H,12/13/16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.406,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,30,Short,BI,allopatric,allopatric,SBI,SBI 9,A,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.412,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,8,Short,BI,allopatric,allopatric,SBI,SBI 7,F,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.431,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,7,Short,FB,allopatric,allopatric,SFB,SFB 4,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.513,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,19,Short,FJ,allopatric,allopatric,SFJ,SFJ 16,B,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.532,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,4,Tall,FJ,allopatric,allopatric,TFJ,TFJ 9,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.579,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,16,Tall,FJ,sympatric,sympatric,TFJ,TFJ 24,E,2012-11-16,1,1,4,4,0,1,1,0,1,NA,0.598,NA,NA,NA,NA,NA,NA,NA,0,,
SBI,Bowens Island,Short,2,27,Tall,FJ,allopatric,allopatric,TFJ,TFJ 13,D,12/13/16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.6,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,11,Tall,FB,allopatric,allopatric,TFB,TFB 5,D,2012-11-16,1,1,19.5,19.5,0,1,1,0,1,NA,0.625,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 13,B,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.625,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,1,Tall,BI,sympatric,allopatric,TBI,TBI 11,F,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.631,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,9,Tall,FJ,sympatric,allopatric,TFJ,TFJ 19,B,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.69,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,16,Tall,BI,sympatric,allopatric,TBI,TBI 19,C,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.709,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,23,Short,BI,allopatric,allopatric,SBI,SBI 10,H,2012-11-16,1,1,56,56,0,1,1,0,1,NA,0.722,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,15,Short,BI,allopatric,allopatric,SBI,SBI 10,F,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.73,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,2,18,Short,FJ,allopatric,allopatric,SFJ,SFJ 20,A,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.799,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,6,Tall,FB,sympatric,sympatric,TFB,TFB 12,C,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,0.87,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,15,Short,FB,allopatric,allopatric,SFB,SFB 2,G,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,0.99,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,2,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,F,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,1.018,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,26,Tall,BI,allopatric,allopatric,TBI,TBI 4,D,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,1.035,NA,NA,NA,NA,NA,NA,NA,0,,
SBI,Bowens Island,Short,2,5,Short,FB,sympatric,allopatric,SFB,SFB 4,B,12/13/16,1,2,12,14,0,1,1,0,2,NA,1.219,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,25,Tall,BI,allopatric,allopatric,TBI,TBI 1,A,2012-11-16,1,16,20.4375,41,1,0,1,0,16,NA,15.419,NA,NA,TBI-1,1,1,1,170,1,,
SFJ,Fort Johnson,Short,2,13,Short,FJ,sympatric,sympatric,SFJ,SFJ 12,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.039,NA,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,29,Short,BI,sympatric,allopatric,SBI,SBI 6,G,,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,30,Short,FB,sympatric,allopatric,SFB,SFB 9,D,,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,2,25,Short,FB,sympatric,allopatric,SFB,SFB 11,H,2012-11-16,1,17,18.11764706,42,0,1,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,20,Short,BI,allopatric,allopatric,SBI,SBI 15,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,16,Tall,BI,sympatric,allopatric,TBI,TBI 4,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,17,Tall,FB,sympatric,allopatric,TFB,TFB 10,H,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,18,Short,BI,allopatric,allopatric,SBI,SBI 20,A,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,21,Short,FB,allopatric,allopatric,SFB,SFB 23,D,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,22,Tall,BI,sympatric,allopatric,TBI,TBI 14,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,25,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,F,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,30,Tall,FJ,sympatric,sympatric,TFJ,TFJ 16,Z,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,1,Tall,FJ,sympatric,sympatric,TFJ,TFJ 5,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,12,Short,FB,allopatric,allopatric,SFB,SFB 9,F,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,21,Short,FB,allopatric,allopatric,SFB,SFB 12,E,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,24,Tall,FB,sympatric,allopatric,TFB,TFB 13,A,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,25,Short,FB,allopatric,allopatric,SFB,SFB 4,A,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,27,Tall,FB,sympatric,allopatric,TFB,TFB 3,F,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,28,Tall,BI,sympatric,allopatric,TBI,TBI 22,C,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,29,Tall,FB,sympatric,allopatric,TFB,TFB 3,E,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,C,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,