Site,Zone,Plot,Stem Density,HT 1,HT 2,HT 3,HT 4,HT 5,AVERAGE HT,TEMP,REDOX
BI,Tall,1,11,121,111,134,123,104,118.6,25,-116.2
BI,Tall,2,12,117,106,100,86,116,105,25,31.5
BI,Tall,3,9,111,102,128,51,77,93.8,25,30
BI,Tall,4,10,90,106,109,111,115,106.2,25,43.2
BI,Tall,5,12,66,85,57,57,90,71,25.9,37.3
BI ,Short,1,23,18,15,28,25,13,19.8,21.7,-139.7
BI ,Short,2,38,25,29,16,19,26,23,,
BI ,Short,3,23,36,31,24,27,30,29.6,,
BI ,Short,4,36,28,22,23,19,13,21,22,-51.7
BI ,Short,5,24,22,28,22,36,32,28,22,22.8
FB,Tall,1,16,110,94,124,118,84,106,22.5,-309.4
FB,Tall,2,11,62,85,61,46,71,65,23.4,174.2
FB,Tall,3,9,90,80,88,63,101,84.4,16.5,23
FB,Tall,4,12,58,71,72,53,68,64.4,23.6,69.4
FB,Tall,5,11,73,73,64,71,70,70.2,22.8,126.5
FB,Short,1,41,24,19,20,17,23,20.6,23.4,-349.7
FB,Short,2,21,25,26,25,15,21,22.4,23.1,-361.8
FB,Short,3,9,29,38,36,43,27,34.6,22.9,-364.3
FB,Short,4,12,35,38,36,43,49,40.2,,
FB,Short,5,10,44,33,41,57,39,42.8,23.1,-332.2
FJ,Tall,1,16,57,86,78,103,88,82.4,25,-87.3
FJ,Tall,2,22,99,86,91,100,99,95,,
FJ,Tall,3,12,61,74,73,100,93,80.2,21,-44.2
FJ,Tall,4,15,83,87,78,80,77,81,20.8,-441
FJ,Tall,5,10,62,85,77,67,88,75.8,20.9,-29.2
FJ,Short,1,13,16,33,24,21,27,24.2,21.3,-293.9
FJ,Short,2,31,16,22,27,25,20,22,21.2,-389.9
FJ,Short,3,17,31,32,18,29,23,26.6,21.5,-389.7
FJ,Short,4,18,21,26,17,35,20,23.8,21.7,-398.8
FJ,Short,5,13,26,26,27,21,20,24,21.5,-379.6