Tin ID,Tin Pre-Weight (g),Tin Post-Weight (g),Total Seed Weight (g),Seed Number,Individual Seed Weight (mg),Site,Form,Site_Form
11,0.953,0.961,0.008,5,1.6,Folly Beach,Short,FB_Short
12,0.954,0.962,0.008,5,1.6,Folly Beach,Short,FB_Short
13,1.317,1.326,0.009,5,1.8,Folly Beach,Short,FB_Short
14,1.298,1.309,0.011,5,2.2,Folly Beach,Short,FB_Short
15,1.314,1.322,0.008,5,1.6,Folly Beach,Short,FB_Short
16,0.953,0.966,0.013,5,2.6,Folly Beach,Short,FB_Short
17,1.309,1.32,0.011,5,2.2,Folly Beach,Short,FB_Short
19,0.976,0.99,0.014,5,2.8,Folly Beach,Tall,FB_Tall
20,1.31,1.32,0.01,5,2,Folly Beach,Tall,FB_Tall
21,1.322,1.333,0.011,5,2.2,Folly Beach,Tall,FB_Tall
22,0.952,0.961,0.009,5,1.8,Folly Beach,Tall,FB_Tall
23,0.95,0.959,0.009,5,1.8,Folly Beach,Tall,FB_Tall
24,1.314,1.322,0.008,5,1.6,Folly Beach,Tall,FB_Tall
25,0.942,0.953,0.011,5,2.2,Folly Beach,Tall,FB_Tall
26,1.32,1.331,0.011,5,2.2,Folly Beach,Tall,FB_Tall
27,1.296,1.303,0.007,5,1.4,Fort Johnson,Short,FJ_Short
28,1.302,1.309,0.007,5,1.4,Fort Johnson,Short,FJ_Short
29,1.299,1.306,0.007,5,1.4,Fort Johnson,Short,FJ_Short
30,0.947,0.954,0.007,5,1.4,Fort Johnson,Short,FJ_Short
31,0.98,0.988,0.008,5,1.6,Fort Johnson,Short,FJ_Short
32,1.316,1.321,0.005,5,1,Fort Johnson,Short,FJ_Short
33,1.307,1.314,0.007,5,1.4,Fort Johnson,Short,FJ_Short
34,1.3,1.306,0.006,5,1.2,Fort Johnson,Short,FJ_Short
35,1.306,1.316,0.01,5,2,Fort Johnson,Tall,FJ_Tall
36,0.985,0.994,0.009,5,1.8,Fort Johnson,Tall,FJ_Tall
37,1.304,1.314,0.01,5,2,Fort Johnson,Tall,FJ_Tall
38,1.319,1.329,0.01,5,2,Fort Johnson,Tall,FJ_Tall
39,0.94,0.947,0.007,5,1.4,Fort Johnson,Tall,FJ_Tall
40,1.303,1.312,0.009,5,1.8,Fort Johnson,Tall,FJ_Tall
41,1.301,1.31,0.009,5,1.8,Fort Johnson,Tall,FJ_Tall
42,1.314,1.322,0.008,5,1.6,Fort Johnson,Tall,FJ_Tall
43,1.302,1.315,0.013,5,2.6,Bowens Island,Short,BI_Short
44,1.301,1.31,0.009,5,1.8,Bowens Island,Short,BI_Short
45,1.299,1.311,0.012,5,2.4,Bowens Island,Short,BI_Short
46,0.95,0.959,0.009,5,1.8,Bowens Island,Short,BI_Short
47,1.303,1.314,0.011,5,2.2,Bowens Island,Short,BI_Short
48,0.946,0.957,0.011,5,2.2,Bowens Island,Short,BI_Short
49,1.31,1.319,0.009,5,1.8,Bowens Island,Short,BI_Short
50,0.939,0.948,0.009,5,1.8,Bowens Island,Short,BI_Short
51,1.308,1.316,0.008,5,1.6,Bowens Island,Tall,BI_Tall
52,1.315,1.322,0.007,5,1.4,Bowens Island,Tall,BI_Tall
53,1.306,1.315,0.009,5,1.8,Bowens Island,Tall,BI_Tall
54,1.297,1.305,0.008,5,1.6,Bowens Island,Tall,BI_Tall
55,1.303,1.312,0.009,5,1.8,Bowens Island,Tall,BI_Tall
56,1.302,1.308,0.006,5,1.2,Bowens Island,Tall,BI_Tall
57,1.317,1.322,0.005,5,1,Bowens Island,Tall,BI_Tall
58,1.307,1.315,0.008,5,1.6,Bowens Island,Tall,BI_Tall